Start	Name		

0x1888	sub_1888										
0x189C	j___cxa_atexit									
0x18A8	j___cxa_finalize								
0x18B4	j_fopen											
0x18C0	j_fgets											
0x18CC	j_fclose										
0x18D8	j_prctl											
0x18E4	j_getenv										
0x18F0	j_setenv										
0x18FC	j_pthread_mutex_init							
0x1908	j_pthread_mutex_lock							
0x1914	j_pthread_mutex_unlock							
0x1920	j_gettid										
0x192C	j_getuid										
0x1938	j_vsnprintf										
0x1944	j___errno										
0x1950	j_getgid										
0x195C	j_clock_gettime									
0x1968	j_raise											
0x1974	j____gnu_Unwind_Find_exidx						
0x1980	j_abort											
0x198C	j___cxa_begin_cleanup							
0x1998	j___cxa_type_match								
0x19A4	j_j___cxa_finalize								
0x19B4	unknown_libname_1								
0x19C8	j_j___cxa_atexit								
0x19E8	get143											
0x19EC	copyErrorBufferToArray							
0x1A14	getBuffer1280AndLen								
0x1A28	resetBuffer1280									
0x1A48	setErrorBuffer80InUse							
0x1A58	resetErrorBuffer								
0x1A6C	getAPKPackageName								
0x1B70	isAlphaOrSpaceOrUnderscoreOrDollar_1b70			
0x1B94	confirmBaseAPKFilePath							
0x1D48	setBaseAPKFilePath								
0x1E30	getBaseAPKFilePath								
0x1EB0	setProcessAddress								
0x1EBC	getProcessAddress								
0x1EC8	getDataAppFolderPath							
0x1ED8	setProcessFileByAddress							
0x1EF4	getProcessFileByAddress							
0x1FB8	getCPUType										
0x22A8	DUMPABLE										
0x2300	getGET_DUMPABLE									
0x230C	doesPersistSysDalvikVmLibHaveLibArt				
0x23E8	setHasLibhoudini								
0x2460	set_C144to1										
0x2470	get_C144										
0x247C	set_C148										
0x248C	get_C148										
0x2498	setEntry9To1									
0x24A0	hasEntry9										
0x24C4	set__tmp__sec3__envvar							
0x2654	getMaster20EntryFrom520ByID						
0x269E	getEntryIndexByID								
0x26C0	get520BufferAndSizeEntryByID					
0x26EA	setIndexEntryByID								
0x2756	setEntry520ByID									
0x27CC	setEntry2Index									
0x27D4	getEntry2Index									
0x2800	getEntry1Buffer									
0x2844	setELFTypeChar									
0x288A	getELFTypeChar									
0x28D4	confrimSystemVersionAndCPU						
0x290C	setPThreadTo520									
0x2A00	setThreadClock									
0x2AAC	confrimLibsWithWithCPU							
0x2C50	checkThreadTid									
0x2CF8	allLibsFound									
0x2D20	checkIfAllLibsWereFound							
0x2D8C	checkLibsByName									
0x2E38	setEntry5Buffer									
0x2E42	getEntry5Buffer									
0x2E9C	getDataDataFolder								
0x2F54	getSelinuxRestoreconRecursive					
0x3030	getDataUserFolder								
0x3100	getDataFolder									
0x31C8	checkSelinuxRestoreconRecursive					
0x325C	checkFilePermissions							
0x3288	checkPackageDataFiles							
0x3524	setProcParseArray								
0x3710	resetProcParseArray								
0x3754	initProcParseArray								
0x3774	resetCurPraseArrayCount							
0x3784	getProcParseArrayEntry							
0x37E8	setTidToArray									
0x3830	getTidValueFromArray							
0x387C	setBuffer20ToEntry								
0x38F8	getBuffer20_7EntryAndArray						
0x393E	mainFunc										
0x3988	get162											
0x3990	passoffFunc										
0x3AA0	getuidAndDiv100000								
0x3AB8	getValueFromProcSelfEnviron						
0x3B60	getANDROID_DATAFromProcSelfEnviron				
0x3BC4	getANDROID_ROOTFromProcSelfEnviron				
0x3C2C	getASEC_MOUNTPOINTFromProcSelfEnviron			
0x3C98	getANDROID_ASSETSFromProcSelfEnviron			
0x3D04	getEXTERNAL_STORAGEFromProcSelfEnviron			
0x3D6C	getANDROID_STORAGEFromProcSelfEnviron			
0x3DD8	called_system_property_get						
0x3E08	makeVsnprintf									
0x3E6E	createVsnprintf									
0x3E90	no_ref_6										
0x3EF4	readProcSelfEnviron								
0x3F54	no_ref_7										
0x3F72	readValueFromProcSelfEnviron					
0x3FC8	getFile_st_ctime								
0x40CC	no_ref_8										
0x40FC	compareTime										
0x412C	setCurTime										
0x41B8	getCurTime										
0x421E	get139											
0x4224	openFileWithProcCheck							
0x42B8	j_openFileGetDataFromOffsetWithPtr				
0x4314	call_setSystemVersionString						
0x4358	call_getSystemVersion							
0x439C	checkFlag										
0x43BC	getHexflag										
0x43CC	setelfEntries									
0x43DC	getElfEntries									
0x43E8	callAddressByType								
0x4404	getELFEntryByType								
0x4434	setELFEntry										
0x4492	deleteELFEntry									
0x44DC	is133											
0x44E0	malloc											
0x4514	unmap											
0x453C	getOpenFileDataFromOffset						
0x4620	readFileToStruct								
0x472A	getNextStringLine								
0x4748	parseProcSelfMaps								
0x4938	createReadFileToStruct							
0x4954	getProcMapPID									
0x4A04	createReadProcSelfMaps							
0x4A48	deleteReturnReadFile							
0x4A66	resetPrivateOrSharedValue						
0x4A70	getProcSelfMapsData								
0x4AB4	getFileDataFromOffset							
0x4B18	openGetFileDataFromOffset						
0x4B80	openFileGetDataFromOffset						
0x4C38	j_openGetFileDataFromOffset						
0x4C42	openFileGetDataFromOffsetWithPtr				
0x4D08	get154											
0x4D0C	getFileSizeBySeek								
0x4D78	openFileGetSizeBySeek							
0x4DD4	getFileSize										
0x4E98	getOpenFileGetSize								
0x4EF4	memset											
0x4F96	memcpy											
0x4FE0	memcmp											
0x4FFA	strlen											
0x500A	stringsAreDiff									
0x502A	j_stringsAreDiff								
0x5050	compare_case_insensitive_5050					
0x5088	compareCaseInsensitive_5088						
0x50C6	stringEndsWith									
0x50EE	findAddressOfTarget								
0x5116	getPtrToChar									
0x5138	findFirstDifferingCharacters					
0x517C	copyStringWithLength							
0x51A4	strOverwrite									
0x51BA	j_strConcat										
0x51D0	strcat											
0x51EE	no_ref_31										
0x5238	strLenFromEnd									
0x5248	convertPidToStr_5248							
0x5294	no_ref											
0x52FE	no_ref_30										
0x533C	no_ref_29										
0x5344	parseHexStringToInt								
0x537A	parseHexStringToInt_0							
0x5398	isWhiteSpace									
0x53B8	no_ref_28										
0x53C4	getFileNameFromPath								
0x543C	findFirstNonSpaceOrTab							
0x545E	extractFirstNonWhitespaceSubstring				
0x5490	no_ref_27										
0x5608	no_ref_26										
0x5640	compareStrNumByRadix							
0x57BC	no_ref_25										
0x57C4	pageAlign										
0x57D8	no_ref_24										
0x5808	j_pageAlign										
0x580C	j_pageAlign_0									
0x5810	DoDecodeString2									
0x5832	deleteString									
0x5848	processLineEndings								
0x58E4	getErrorBuffer									
0x58F8	isErrorBufferInUse								
0x590E	errorFunc										
0x5994	j_errorFunc										
0x59BC	clearErrorBuffer								
0x59D4	setFinishedByte									
0x59E0	getFinishedByte									
0x59EC	copyErrorBuffer									
0x5A08	setErrorBufferMax								
0x5A18	setErrorBufferFromStruct						
0x5A80	getHasErrorBuffer								
0x5A8C	setErrorBufferStrut								
0x5B1C	j_memset										
0x5B20	j_memcpy										
0x5B24	j_memcmp										
0x5B28	nanosleep										
0x5B42	nullsub_1										
0x5B44	nullsub_3										
0x5B48	eabi_syscall									
0x5B68	j_eabi_syscall									
0x5BBC	systemcall_error_handle							
0x5C08	open_with_mode									
0x5C40	open											
0x5C74	nanosleep_with_setup							
0x5CBC	divmod_quotient									
0x5D40	j_j_j_raise										
0x5D4C	divmod											
0x5D68	j_j_calculateDivisionWithCarry					
0x5D94	j_j_raise										
0x5DA0	j_calculateDivisionQuotientWithAdjustment		
0x5DCA	j_calculateDivisionWithCarry					
0x5DF4	cpp_func_sub_3									
0x5E06	cpp_func_sub_18									
0x5E6E	cpp_get											
0x5EA0	runUnwind_Find_exidx							
0x5F44	no_ref_19										
0x5F92	cpp_func_sub_2									
0x5F9E	get9											
0x5FA2	nullsub_2										
0x5FA4	no_ref_20										
0x5FDE	no_ref_18										
0x60A0	no_ref_23										
0x60A4	no_ref_17										
0x6106	no_ref_1										
0x611A	no_ref_3										
0x615C	no_ref_5										
0x616C	nullsub_4										
0x616E	no_ref_22										
0x617C	cpp_func_sub_6									
0x61A8	cpp_func_sub_0									
0x61C0	cpp_func_sub_7									
0x61EC	cpp_func_sub_1									
